url,content_type_ext,content_ffb,wayback_date,crawl_date
http://www.ysrnry.co.uk:80/ys3/issue5/tape/smash03.tap,.tap,13000000,20030516215257,2003-05-16T22:52:57Z
http://www.ysrnry.co.uk:80/ys3/issue6/tape/smash04.tap,.tap,13000000,20030516215614,2003-05-16T22:56:14Z
http://www.bigblack.org.uk:80/spectrum/A/automani.sna,.sna,3fe09fb7,20030517191541,2003-05-17T20:15:41Z
http://www.bigblack.org.uk:80/spectrum/A/astronom.sna,.sna,3f97019b,20030517192530,2003-05-17T20:25:30Z
http://www.bigblack.org.uk:80/spectrum/A/astronut.z80,.z80,bf024400,20030517193502,2003-05-17T20:35:02Z
http://www.bigblack.org.uk:80/spectrum/A/aufmonty.sna,.sna,3fb85a3e,20030517201003,2003-05-17T21:10:03Z
http://www.bigblack.org.uk:80/spectrum/C/CAGARA.Z80,.z80,080a0b03,20030517201016,2003-05-17T21:10:16Z
http://www.bigblack.org.uk:80/spectrum/A/austerli.sna,.sna,3f200020,20030517201027,2003-05-17T21:10:27Z
http://www.bigblack.org.uk:80/spectrum/A/atf.sna,.sna,82f2ff9b,20030517201051,2003-05-17T21:10:51Z
http://www.bigblack.org.uk:80/spectrum/C/CABAL.Z80,.z80,0054fdbf,20030517201210,2003-05-17T21:12:10Z
http://www.bigblack.org.uk:80/spectrum/C/CAESARTC.SNA,.sna,3f582731,20030517201216,2003-05-17T21:12:16Z
http://www.bigblack.org.uk:80/spectrum/C/CAD.Z80,.z80,00bbcc05,20030517201355,2003-05-17T21:13:55Z
http://www.bigblack.org.uk:80/spectrum/C/CALL_SAM.SNA,.sna,3f04e7e3,20030518205140,2003-05-18T21:51:40Z
http://www.bigblack.org.uk:80/spectrum/C/CARDS.Z80,.z80,00001800,20030518205154,2003-05-18T21:51:54Z
http://www.bigblack.org.uk:80/spectrum/C/CARPETCA.TAP,.tap,13000000,20030518205229,2003-05-18T21:52:29Z
http://www.bigblack.org.uk:80/spectrum/C/CAMELOT.SNA,.sna,3f00009b,20030518205557,2003-05-18T21:55:57Z
http://www.bigblack.org.uk:80/spectrum/C/CARRIERC.Z80,.z80,20000f55,20030518205810,2003-05-18T21:58:10Z
http://www.bigblack.org.uk:80/spectrum/C/CARTOON.Z80,.z80,363a0080,20030518205938,2003-05-18T21:59:38Z
http://www.bigblack.org.uk:80/spectrum/C/CAPMAN.SNA,.sna,3f50589b,20030518210112,2003-05-18T22:01:12Z
http://www.bigblack.org.uk:80/spectrum/C/CANNONBA.Z80,.z80,206a0158,20030518210301,2003-05-18T22:03:01Z
http://www.bigblack.org.uk:80/spectrum/C/CAPTSEV2.TAP,.tap,13000000,20030518210459,2003-05-18T22:04:59Z
http://www.bigblack.org.uk:80/spectrum/C/CANY_WAR.SNA,.sna,fe78fcdb,20030518210551,2003-05-18T22:05:51Z
http://www.bigblack.org.uk:80/spectrum/C/CAPTFIZZ.TAP,.tap,13000000,20030518210741,2003-05-18T22:07:41Z
http://www.bigblack.org.uk:80/spectrum/C/CAPTBLOO.Z80,.z80,bf16fef7,20030518210843,2003-05-18T22:08:43Z
http://www.bigblack.org.uk:80/spectrum/C/CC48PT1.Z80,.z80,005c0604,20030519204645,2003-05-19T21:46:45Z
http://www.bigblack.org.uk:80/spectrum/C/CAULDRO2.Z80,.z80,182a2401,20030519205025,2003-05-19T21:50:25Z
http://www.bigblack.org.uk:80/spectrum/C/CASTCOLD.Z80,.z80,1e80d0a4,20030519205125,2003-05-19T21:51:25Z
http://www.bigblack.org.uk:80/spectrum/C/CAR_JOUR.Z80,.z80,cc4a0000,20030519205308,2003-05-19T21:53:08Z
http://www.bigblack.org.uk:80/spectrum/C/CATNMOUS.SNA,.sna,3ffb039b,20030519205502,2003-05-19T21:55:02Z
http://www.bigblack.org.uk:80/spectrum/C/CASANOVA.TAP,.tap,13000000,20030519205534,2003-05-19T21:55:34Z
http://www.bigblack.org.uk:80/spectrum/C/CAVES_DO.SNA,.sna,3f58279b,20030519205608,2003-05-19T21:56:08Z
http://www.bigblack.org.uk:80/spectrum/C/CASEYJON.TAP,.tap,13000000,20030519205909,2003-05-19T21:59:09Z
http://www.bigblack.org.uk:80/spectrum/C/CC48PT2.Z80,.z80,115c5303,20030519210043,2003-05-19T22:00:43Z
http://www.bigblack.org.uk:80/spectrum/C/CHAMPRUN.Z80,.z80,50002dd6,20030520205932,2003-05-20T21:59:32Z
http://www.bigblack.org.uk:80/spectrum/C/CHAMPSED.Z80,.z80,0051fefd,20030520210208,2003-05-20T22:02:08Z
http://www.bigblack.org.uk:80/spectrum/C/CHAPLIN.Z80,.z80,73009045,20030520210829,2003-05-20T22:08:29Z
